step	tok_plus_pos_l2	tok_plus_pos_l1	layer0_ln1_l2	layer0_ln1_l1	layer0_attn_out_l2	layer0_attn_out_l1	layer0_ln2_l2	layer0_ln2_l1	layer0_ffn_w2_l2	layer0_ffn_w2_l1	layer0_output_l2	layer0_output_l1	layer1_ln1_l2	layer1_ln1_l1	layer1_attn_out_l2	layer1_attn_out_l1	layer1_ln2_l2	layer1_ln2_l1	layer1_ffn_w2_l2	layer1_ffn_w2_l1	layer1_output_l2	layer1_output_l1	logits_l2	logits_l1
36	1456.03	1.22434e+06	1015.46	854853	1918.65	1.54226e+06	1018.24	824158	3574.59	2.80077e+06	4553.29	3.61573e+06	1016.72	822310	1143.91	852837	1017.68	843230	2979.4	2.33847e+06	6847.16	5.54545e+06	1210.06	647599
37	1455.92	1.22447e+06	1014.95	854593	1916.23	1.54056e+06	1018.44	824125	3575.59	2.8011e+06	4560.03	3.6215e+06	1015.63	821334	1151.38	858190	1017.84	842991	2990.34	2.34708e+06	6873.37	5.56818e+06	1224.03	653844
38	1455.38	1.22394e+06	1014.85	854485	1913.02	1.53721e+06	1018.93	824258	3586.86	2.81097e+06	4570.56	3.63001e+06	1016.04	821728	1150.49	858888	1017.53	842136	2993.3	2.34824e+06	6899.23	5.59143e+06	1237.18	660733
39	1455.94	1.22437e+06	1014.83	854429	1919.12	1.54231e+06	1018.61	823700	3597.37	2.81885e+06	4581.02	3.63889e+06	1016	821976	1149.41	858371	1017.44	842091	2985.83	2.34151e+06	6921.75	5.61429e+06	1245.18	664996
40	1455.84	1.22442e+06	1014.73	854439	1923.99	1.54523e+06	1018.51	823260	3599.8	2.8202e+06	4592.45	3.64792e+06	1016.2	821928	1154.02	861768	1017.46	842248	2993.42	2.34762e+06	6952.89	5.64141e+06	1251.28	668384
41	1456.29	1.22458e+06	1014.67	854245	1920.64	1.54224e+06	1017.99	822699	3603.71	2.82188e+06	4601.97	3.65529e+06	1016.21	822229	1150.76	857044	1017.51	842527	2999.86	2.35122e+06	6978.43	5.66363e+06	1255.04	672215
42	1455.92	1.22432e+06	1014.82	854378	1927.32	1.54858e+06	1017.92	822631	3607.24	2.82444e+06	4611.14	3.66247e+06	1016.53	822593	1152.27	858827	1018.2	843424	3019.38	2.36575e+06	7016.31	5.69466e+06	1257.47	676408
43	1456.7	1.22497e+06	1014.8	854352	1925.21	1.5463e+06	1018.14	822687	3626.23	2.83737e+06	4635.73	3.68322e+06	1016.88	823532	1144.17	854410	1018.47	844201	3033.15	2.37855e+06	7067.94	5.73444e+06	1258.94	682621
44	1456.15	1.22442e+06	1014.8	854279	1918.93	1.54102e+06	1018.23	822916	3628.77	2.83696e+06	4640.09	3.68454e+06	1016.87	823337	1140.78	851857	1018.45	844465	3048.23	2.39246e+06	7097.99	5.75502e+06	1259.71	685984
45	1456.76	1.22538e+06	1014.62	854481	1922.8	1.54569e+06	1018.09	822996	3634.38	2.83863e+06	4644.44	3.68771e+06	1017.02	823764	1146.54	857834	1018.4	844419	3058.94	2.4037e+06	7125.71	5.77712e+06	1261.55	688617
46	1455.88	1.22433e+06	1014.43	854134	1914.77	1.54031e+06	1018.33	823584	3634.95	2.83596e+06	4645.56	3.68549e+06	1016.79	823508	1144.07	857061	1017.93	844360	3070.21	2.41443e+06	7136.08	5.78324e+06	1262.8	689521
47	1456.07	1.22463e+06	1014.39	854195	1924.81	1.54747e+06	1017.88	822956	3623.54	2.82523e+06	4642.05	3.68221e+06	1016.3	823343	1145.45	856621	1017.74	844120	3071.74	2.4168e+06	7138.23	5.78506e+06	1265.37	689740
48	1456.2	1.22477e+06	1015.21	854891	1918.84	1.54303e+06	1018.11	823573	3617.89	2.82188e+06	4643.64	3.68223e+06	1016.75	823960	1145.62	859624	1017.83	844111	3075.03	2.42149e+06	7141.95	5.79151e+06	1272.31	690857
49	1456.02	1.22438e+06	1015.28	854800	1922.82	1.54738e+06	1018.16	823883	3607.58	2.8126e+06	4637.28	3.67671e+06	1016.84	823995	1149.48	862060	1017.56	844300	3067.27	2.41672e+06	7130.5	5.7876e+06	1278.72	690229
50	1455.91	1.2242e+06	1015.31	854762	1921.78	1.54537e+06	1017.89	824041	3597.03	2.80474e+06	4626.77	3.67037e+06	1017.21	824625	1161.88	871840	1017.27	844659	3059.63	2.41204e+06	7111.5	5.77869e+06	1287.21	690426
51	1456.01	1.22454e+06	1015.89	855438	1915.91	1.54025e+06	1017.71	824027	3584.28	2.79539e+06	4608.56	3.65557e+06	1016.67	824018	1162.02	872320	1017.25	844455	3052.98	2.40656e+06	7078.31	5.75381e+06	1291.74	690708
52	1456.45	1.22486e+06	1015.94	855432	1926.09	1.54839e+06	1017.48	823539	3573.65	2.78493e+06	4599.94	3.64913e+06	1016.52	823781	1164.03	873400	1016.99	844433	3036.65	2.39453e+06	7058.37	5.74168e+06	1297.3	691603
53	1456.39	1.22484e+06	1015.56	855133	1923.84	1.54644e+06	1017.68	823957	3550.31	2.76993e+06	4576.41	3.63343e+06	1016.43	824149	1179.77	884544	1017.43	845679	3037.42	2.3936e+06	7023.34	5.72144e+06	1300.06	690132
54	1456.81	1.22521e+06	1015.58	855205	1927.9	1.54964e+06	1017.63	823821	3537.5	2.75972e+06	4559.75	3.61954e+06	1017.1	824782	1192.61	890861	1017.35	845965	3041.15	2.39329e+06	6992.43	5.69831e+06	1300.88	688498
55	1456.37	1.22469e+06	1015.66	855165	1925.94	1.54778e+06	1017.13	823508	3509.95	2.73994e+06	4531.74	3.59826e+06	1016.66	824368	1208.34	899955	1017.43	847110	3050.36	2.39891e+06	6956.6	5.67061e+06	1298.23	685984
56	1456.67	1.22501e+06	1015.96	855405	1923.96	1.54748e+06	1017.17	824084	3490.29	2.72653e+06	4517.99	3.58952e+06	1016.82	824787	1220.47	906196	1017.61	848079	3065.76	2.4115e+06	6942.75	5.65727e+06	1293.61	684289
57	1456.68	1.22508e+06	1016.09	855570	1916.71	1.5406e+06	1017.54	824261	3471.94	2.71376e+06	4502.67	3.5784e+06	1016.71	825029	1235.15	916506	1017.52	847993	3080.97	2.42228e+06	6926.41	5.63778e+06	1290.87	683961
58	1456.25	1.22472e+06	1015.63	855166	1919.82	1.543e+06	1017.29	824294	3459.45	2.70174e+06	4480.29	3.55944e+06	1016.7	825359	1234.6	919022	1017.58	847452	3080.29	2.41972e+06	6891.44	5.60183e+06	1287.19	683837
59	1456.42	1.22468e+06	1015.56	855020	1915.21	1.53897e+06	1017.54	824426	3460.93	2.7015e+06	4473.17	3.55299e+06	1017.32	826436	1236.69	922772	1017.53	846544	3062.13	2.40404e+06	6858.12	5.5652e+06	1284.01	684256
60	1455.83	1.22431e+06	1015.29	854861	1914.89	1.53895e+06	1017.38	824109	3460.86	2.70127e+06	4468.72	3.54872e+06	1016.81	826141	1240.32	928920	1017.34	845161	3041.5	2.38806e+06	6848.08	5.54948e+06	1282.28	685759
61	1456.38	1.22478e+06	1015.7	855204	1920.21	1.54349e+06	1017.37	824267	3443.25	2.68591e+06	4453.66	3.53716e+06	1017.11	826474	1254.28	940317	1017.33	844621	3034.81	2.38375e+06	6834.54	5.53372e+06	1278.82	683914
62	1456.93	1.22537e+06	1015.74	855338	1915.64	1.53979e+06	1017.03	824372	3422.62	2.66824e+06	4436.31	3.5237e+06	1017.12	826476	1273.1	954263	1017.35	843525	3032.42	2.38284e+06	6816.2	5.51029e+06	1271.69	681377
63	1456.57	1.22501e+06	1015.78	855317	1918.01	1.54188e+06	1017.04	824006	3415.88	2.65892e+06	4434.72	3.51928e+06	1017.14	826211	1280.01	961276	1017.45	842282	3011.21	2.36859e+06	6810.57	5.49732e+06	1267.78	680878
