tensor	shape	abs_err_L2	rel_err_L2	rel_err_L2_eps	abs_err_L1	rel_err_L1	max_ref	max_pt	max_diff	cos_sim
layer0_ln2_alpha.bin	1	0	0	0	0	0	1	1	0	1
layer0_ln2_gamma.bin	1x1x128	0	0	0	0	0	1	1	0	1
layer1_ln1_alpha.bin	1	0	0	0	0	0	1	1	0	1
layer1_ln1_gamma.bin	1x1x128	0	0	0	0	0	1	1	0	1
layer1_ln2_alpha.bin	1	0	0	0	0	0	1	1	0	1
layer1_ln2_gamma.bin	1x1x128	0	0	0	0	0	1	1	0	1
layer0_ln1_beta.bin	1x1x128	0	0/0	0	0	0/0	0	0	0	0/0
layer0_ln2_beta.bin	1x1x128	0	0/0	0	0	0/0	0	0	0	0/0
layer1_ln1_beta.bin	1x1x128	0	0/0	0	0	0/0	0	0	0	0/0
layer1_ln2_beta.bin	1x1x128	0	0/0	0	0	0/0	0	0	0	0/0
__total_forward__	all	8635.08	0.0954063	0.0954063	1.29577e+07	0.0737298	135	122.5	18	0.996629
