step,train_loss,val_loss,interval_s,total_s
180,4.6875,4.6875,0.371609,4.00876
200,4.5625,4.65625,0.393544,4.40231
20,4.65625,4.9375,1.08425,1.08425
40,4.65625,4.78125,0.343089,1.42734
60,4.65625,4.625,0.34526,1.7726
80,4.65625,4.625,0.345825,2.11843
100,4.65625,4.6875,0.344679,2.46311
120,4.6875,4.65625,0.345476,2.80858
140,4.59375,4.625,0.344168,3.15275
160,4.6875,4.71875,0.343361,3.49611
180,4.6875,4.6875,0.342634,3.83875
200,4.5625,4.65625,0.363985,4.20273
20,4.65625,4.9375,1.09152,1.09152
40,4.65625,4.78125,0.359481,1.451
60,4.65625,4.625,0.363432,1.81443
80,4.65625,4.625,0.36789,2.18232
100,4.65625,4.6875,0.358963,2.54128
120,4.6875,4.65625,0.355871,2.89715
140,4.59375,4.625,0.35832,3.25547
160,4.6875,4.71875,0.361608,3.61708
180,4.6875,4.6875,0.362277,3.97936
200,4.5625,4.65625,0.359807,4.33917
20,4.65625,4.9375,1.10139,1.10139
40,4.65625,4.78125,0.363801,1.46519
60,4.65625,4.625,0.355052,1.82024
80,4.65625,4.625,0.34213,2.16237
100,4.65625,4.6875,0.342771,2.50515
120,4.6875,4.65625,0.355042,2.86019
140,4.59375,4.625,0.367119,3.22731
160,4.6875,4.71875,0.366637,3.59394
180,4.6875,4.6875,0.365346,3.95929
200,4.5625,4.65625,0.371744,4.33103
20,4.65625,4.9375,1.11464,1.11464
40,4.65625,4.78125,0.37425,1.48889
60,4.65625,4.625,0.375712,1.8646
80,4.65625,4.625,0.370079,2.23468
100,4.65625,4.6875,0.361659,2.59634
120,4.6875,4.65625,0.36074,2.95708
140,4.59375,4.625,0.384145,3.34122
160,4.6875,4.71875,0.376828,3.71805
180,4.6875,4.6875,0.378463,4.09651
200,4.5625,4.65625,0.373444,4.46996
20,4.65625,4.9375,1.07911,1.07911
40,4.65625,4.78125,0.335303,1.41441
60,4.65625,4.625,0.335713,1.75012
80,4.65625,4.625,0.336537,2.08666
100,4.65625,4.6875,0.337227,2.42389
120,4.6875,4.65625,0.33712,2.76101
140,4.59375,4.625,0.335634,3.09664
160,4.6875,4.71875,0.368331,3.46497
180,4.6875,4.6875,0.384444,3.84942
200,4.5625,4.65625,0.384575,4.23399
20,4.65625,4.9375,1.13068,1.13068
40,4.65625,4.78125,0.376114,1.5068
60,4.65625,4.625,0.376679,1.88347
80,4.65625,4.625,0.37745,2.26092
100,4.65625,4.6875,0.376761,2.63768
120,4.6875,4.65625,0.375769,3.01345
140,4.59375,4.625,0.375456,3.38891
160,4.6875,4.71875,0.376676,3.76559
180,4.6875,4.6875,0.377116,4.1427
200,4.5625,4.65625,0.377569,4.52027
20,4.65625,4.9375,1.08693,1.08693
40,4.65625,4.78125,0.335602,1.42253
60,4.65625,4.625,0.336405,1.75893
80,4.65625,4.625,0.33646,2.09539
100,4.65625,4.6875,0.336242,2.43164
120,4.6875,4.65625,0.334534,2.76617
140,4.59375,4.625,0.334729,3.1009
160,4.6875,4.71875,0.334894,3.43579
180,4.6875,4.6875,0.334756,3.77055
200,4.5625,4.65625,0.352008,4.12256
20,4.65625,4.9375,1.09607,1.09607
40,4.65625,4.78125,0.378352,1.47442
60,4.65625,4.625,0.372109,1.84653
80,4.65625,4.625,0.368515,2.21504
100,4.65625,4.6875,0.358778,2.57382
120,4.6875,4.65625,0.359274,2.93309
140,4.59375,4.625,0.37107,3.30416
160,4.6875,4.71875,0.361321,3.66548
180,4.6875,4.6875,0.362083,4.02757
200,4.5625,4.65625,0.359179,4.38675
20,4.65625,4.9375,1.10579,1.10579
40,4.65625,4.78125,0.414647,1.52043
60,4.6875,4.59375,0.414775,1.93521
80,4.6875,4.625,0.410161,2.34537
100,4.65625,4.65625,0.371969,2.71734
120,4.71875,4.6875,0.382908,3.10025
140,4.59375,4.65625,0.392309,3.49256
